Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
148	0	-70.38665	0	-70.38665	10.39371	11.66661
149	1	-320.4584	0	-320.4584	1.699589	75.67125
150	0	-68.61764	0	-68.61764	11.49332	11.5586
151	1	-305.4072	0	-305.4072	1.942028	67.71893
152	0	-71.72911	0	-71.72911	11.17593	11.83268
153	1	-294.979	0	-294.979	2.17981	62.67954
154	0	-71.26485	0	-71.26485	13.18507	11.65664
155	1	-304.4671	0	-304.4671	1.839049	67.01139
156	0	-58.55225	0	-58.55225	12.88095	10.70508
157	1	-304.9309	0	-304.9309	2.225298	67.11931
158	0	-58.96785	0	-58.96785	11.33754	10.70654
159	1	-325.8629	0	-325.8629	1.824201	78.68738
160	0	-50.28047	0	-50.28047	15.1835	9.968806
161	1	-309.5161	0	-309.5161	1.901465	69.83008
162	0	-98.04922	0	-98.04922	10.25327	14.34796
163	1	-307.6348	0	-307.6348	2.009961	68.84099
164	0	-122.8612	0	-122.8612	8.156887	17.34309
165	1	-294.3523	0	-294.3523	2.320472	62.23588
166	0	-138.8144	0	-138.8144	6.851242	19.57769
167	1	-309.2725	0	-309.2725	1.863661	69.66524
168	0	-138.9139	0	-138.9139	5.794967	19.29914
169	1	-288.0452	0	-288.0452	2.115906	59.40319
170	0	-146.8153	0	-146.8153	5.893722	20.70012
171	1	-305.1649	0	-305.1649	1.961	67.60757
172	0	-145.4872	0	-145.4872	6.506638	20.57996
173	1	-284.1245	0	-284.1245	2.193165	57.72337
174	0	-160.5554	0	-160.5554	5.410973	22.97192
175	1	-265.2408	0	-265.2408	2.52921	50.17049
176	0	-222.7634	0	-222.7634	4.220448	36.29964
177	1	-264.6275	0	-264.6275	2.897346	49.8904
178	0	-249.2753	0	-249.2753	3.128969	44.59419
179	1	-301.4769	0	-301.4769	2.182571	65.65547
180	0	-229.7567	0	-229.7567	3.555057	38.58309
181	1	-297.4826	0	-297.4826	2.288734	63.65705
182	0	-193.1585	0	-193.1585	4.083375	29.1832
183	1	-297.1644	0	-297.1644	2.36285	63.3402
184	0	-213.8932	0	-213.8932	4.535005	33.95192
185	1	-315.9464	0	-315.9464	1.671547	72.90108
186	0	-212.9199	0	-212.9199	3.45007	33.71019
187	1	-311.8815	0	-311.8815	1.868594	71.06799
188	0	-211.8884	0	-211.8884	5.338826	32.56067
189	1	-314.3722	0	-314.3722	1.835502	72.39564
190	0	-200.7964	0	-200.7964	4.847788	30.90414
191	1	-289.6856	0	-289.6856	1.990512	59.83873
192	0	-203.0205	0	-203.0205	4.148155	31.61402
193	1	-297.8743	0	-297.8743	2.254647	63.89775
194	0	-229.8661	0	-229.8661	3.332014	38.58684
195	1	-337.7835	0	-337.7835	1.635113	86.06556
196	0	-191.8708	0	-191.8708	4.283438	29.01769
197	1	-346.3599	0	-346.3599	1.34946	91.47321
198	0	-148.1535	0	-148.1535	5.298905	20.58833
199	1	-349.3761	0	-349.3761	1.325391	93.58056
200	0	-187.4202	0	-187.4202	5.323399	27.98588
201	1	-369.8003	0	-369.8003	1.236546	109.2606
202	0	-156.2427	0	-156.2427	5.868962	22.29776
203	1	-366.7481	0	-366.7481	1.385247	106.3738
204	0	-103.5546	0	-103.5546	7.648516	14.84906
205	1	-378.276	0	-378.276	1.110355	116.2466
206	0	-129.5304	0	-129.5304	7.126755	18.25725
207	1	-363.7526	0	-363.7526	1.366262	104.2986
208	0	-99.71697	0	-99.71697	9.471316	14.5944
209	1	-364.0253	0	-364.0253	1.40442	104.3015
210	0	-107.9466	0	-107.9466	9.345039	15.48105
211	1	-335.7532	0	-335.7532	1.68458	84.71565
212	0	-131.7311	0	-131.7311	6.725327	18.52241
213	1	-310.0519	0	-310.0519	1.834595	70.04027
214	0	-108.4492	0	-108.4492	7.124148	15.29795
215	1	-303.9332	0	-303.9332	1.945067	66.96354
216	0	-128.6733	0	-128.6733	7.893688	18.10338
217	1	-264.2984	0	-264.2984	3.003925	49.62713
218	0	-137.1055	0	-137.1055	7.634796	19.23884
219	1	-267.3514	0	-267.3514	2.894235	50.83528
220	0	-163.0978	0	-163.0978	5.80735	23.47154
221	1	-261.029	0	-261.029	2.887428	48.65586
222	0	-142.3989	0	-142.3989	6.10552	20.0324
223	1	-281.6541	0	-281.6541	2.446207	56.74781
224	0	-144.7116	0	-144.7116	6.723293	20.45268
225	1	-264.3705	0	-264.3705	2.733528	49.92385
226	0	-150.4091	0	-150.4091	6.057175	21.33914
227	1	-243.017	0	-243.017	3.08234	42.58385
228	0	-155.0434	0	-155.0434	5.948617	22.10084
229	1	-245.4779	0	-245.4779	3.461412	43.13306
230	0	-196.9881	0	-196.9881	4.03903	30.08898
231	1	-270.0781	0	-270.0781	2.899417	51.76778
232	0	-186.5895	0	-186.5895	4.569252	27.9427
233	1	-300.7978	0	-300.7978	2.384922	64.80195
234	0	-189.1958	0	-189.1958	4.934638	28.49164
235	1	-318.356	0	-318.356	1.761278	74.55292
236	0	-144.6178	0	-144.6178	5.52009	20.11495
237	1	-298.7602	0	-298.7602	1.990006	64.39686
238	0	-149.8804	0	-149.8804	5.756837	21.17842
239	1	-275.1255	0	-275.1255	3.089108	52.98007
240	0	-153.2994	0	-153.2994	6.158807	21.81773
241	1	-250.8623	0	-250.8623	3.29508	44.93693
242	0	-172.4037	0	-172.4037	5.233887	25.16143
243	1	-241.1672	0	-241.1672	2.828909	41.66839
244	0	-207.4271	0	-207.4271	4.666149	32.4311
245	1	-277.2938	0	-277.2938	2.566414	54.90488
246	0	-218.0112	0	-218.0112	3.717506	35.35143
247	1	-244.3662	0	-244.3662	3.46895	42.80307
248	0	-256.5793	0	-256.5793	3.448882	46.36739
249	1	-216.5531	0	-216.5531	3.584293	34.8915
250	0	-242.6554	0	-242.6554	3.2003	42.47812
251	1	-208.2403	0	-208.2403	3.884425	32.83482
252	0	-258.5681	0	-258.5681	2.962451	47.75681
253	1	-229.9525	0	-229.9525	4.118068	38.14776
254	0	-223.8127	0	-223.8127	3.560283	36.91234
255	1	-248.0209	0	-248.0209	2.955422	44.1936
256	0	-193.3475	0	-193.3475	4.268523	29.35541
257	1	-230.9468	0	-230.9468	3.536706	38.9233
258	0	-201.1427	0	-201.1427	4.440711	31.16706
259	1	-200.8144	0	-200.8144	4.204791	31.09622
260	0	-196.5244	0	-196.5244	4.913119	29.98886
261	1	-233.5498	0	-233.5498	3.738125	39.51189
262	0	-180.2064	0	-180.2064	6.275838	26.09947
263	1	-260.1458	0	-260.1458	2.598125	48.27025
264	0	-206.5528	0	-206.5528	3.700293	32.25088
265	1	-245.0094	0	-245.0094	2.847637	43.05512
266	0	-210.5192	0	-210.5192	4.415673	33.2955
267	1	-239.0285	0	-239.0285	3.003915	41.21482
268	0	-181.8394	0	-181.8394	5.322008	26.938
269	1	-257.3078	0	-257.3078	2.771575	47.36076
270	0	-161.9032	0	-161.9032	5.678471	23.26487
271	1	-288.6124	0	-288.6124	2.357991	59.72646
272	0	-181.9516	0	-181.9516	5.035499	27.02078
273	1	-269.7282	0	-269.7282	2.939096	51.57147
274	0	-169.3491	0	-169.3491	4.643401	24.24841
