Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
396	0	-222.804	0	-222.804	3.25404	36.36363
397	1	-218.9695	0	-218.9695	4.416443	35.20837
398	0	-237.2831	0	-237.2831	3.786132	40.4494
399	1	-232.4463	0	-232.4463	4.062619	38.83452
400	0	-228.4543	0	-228.4543	4.013199	37.90879
401	1	-256.275	0	-256.275	3.201688	46.73178
402	0	-271.0985	0	-271.0985	2.859163	52.19621
403	1	-283.9472	0	-283.9472	2.427269	57.70459
404	0	-283.7343	0	-283.7343	2.169659	57.5006
405	1	-254.2199	0	-254.2199	2.668349	46.12314
406	0	-268.2936	0	-268.2936	2.768597	51.32751
407	1	-286.0999	0	-286.0999	2.396757	58.62742
408	0	-247.1615	0	-247.1615	3.142067	43.91418
409	1	-271.2712	0	-271.2712	2.535932	52.55628
410	0	-267.318	0	-267.318	2.785111	50.95996
411	1	-246.6801	0	-246.6801	3.25539	43.69998
412	0	-263.5913	0	-263.5913	2.774291	49.62678
413	1	-257.2914	0	-257.2914	2.873205	47.36483
414	0	-272.1264	0	-272.1264	2.596529	52.8822
415	1	-256.3863	0	-256.3863	2.866266	47.05034
416	0	-256.0638	0	-256.0638	2.963165	46.91112
417	1	-206.0408	0	-206.0408	4.337186	32.31085
418	0	-238.0297	0	-238.0297	3.195907	41.03138
419	1	-238.0571	0	-238.0571	3.401663	41.02163
420	0	-207.8844	0	-207.8844	4.8763	32.33818
421	1	-207.1833	0	-207.1833	3.650353	32.36504
422	0	-200.5008	0	-200.5008	5.319678	30.44676
423	1	-176.7798	0	-176.7798	5.372986	25.97836
424	0	-215.9683	0	-215.9683	3.642189	34.76704
425	1	-205.9508	0	-205.9508	4.245757	32.3123
426	0	-183.065	0	-183.065	6.249167	26.57714
427	1	-244.5446	0	-244.5446	2.979143	43.03551
428	0	-153.7354	0	-153.7354	5.568761	21.78748
429	1	-249.0452	0	-249.0452	2.60736	44.02489
430	0	-187.4106	0	-187.4106	5.023172	28.10847
431	1	-267.8225	0	-267.8225	2.975971	50.85522
432	0	-187.4916	0	-187.4916	4.014374	27.70346
433	1	-240.5149	0	-240.5149	3.061574	41.7587
434	0	-189.417	0	-189.417	4.919158	28.54066
435	1	-222.89	0	-222.89	3.551627	36.65048
436	0	-223.3604	0	-223.3604	3.500376	36.76381
437	1	-229.2854	0	-229.2854	3.081668	38.12772
438	0	-283.3843	0	-283.3843	2.16989	57.33976
439	1	-232.1682	0	-232.1682	3.482682	39.28419
440	0	-274.0944	0	-274.0944	2.161383	53.02275
441	1	-188.7542	0	-188.7542	4.385112	28.35173
442	0	-281.8217	0	-281.8217	2.679582	56.44138
443	1	-237.4395	0	-237.4395	3.165736	40.83339
444	0	-280.131	0	-280.131	2.405108	56.13661
445	1	-277.1577	0	-277.1577	2.558433	54.85923
446	0	-240.0033	0	-240.0033	3.530076	41.49053
447	1	-296.9021	0	-296.9021	1.960029	63.39135
448	0	-254.7635	0	-254.7635	2.969236	46.46991
449	1	-295.9853	0	-295.9853	2.192904	63.13167
450	0	-211.1137	0	-211.1137	3.924105	33.58265
451	1	-291.9131	0	-291.9131	2.4398	60.9571
452	0	-204.4448	0	-204.4448	3.704726	31.68668
453	1	-301.5314	0	-301.5314	1.985514	65.78505
454	0	-229.6498	0	-229.6498	3.213037	38.42806
455	1	-294.0938	0	-294.0938	2.084167	62.23404
456	0	-213.8027	0	-213.8027	4.520184	33.9461
457	1	-276.8292	0	-276.8292	2.182542	54.36239
458	0	-216.6112	0	-216.6112	4.01688	34.95634
459	1	-270.6971	0	-270.6971	2.255668	51.84741
460	0	-246.6247	0	-246.6247	3.051898	43.75367
461	1	-265.1807	0	-265.1807	2.323201	49.6742
462	0	-281.5308	0	-281.5308	2.10003	56.2676
463	1	-241.5601	0	-241.5601	3.586582	41.86552
464	0	-313.8694	0	-313.8694	1.904201	72.11759
465	1	-251.0143	0	-251.0143	2.647888	44.87802
466	0	-284.8232	0	-284.8232	2.4434	58.04682
467	1	-235.737	0	-235.737	3.403746	40.33907
468	0	-323.3424	0	-323.3424	1.956858	76.89435
469	1	-243.6542	0	-243.6542	3.094756	42.79347
470	0	-391.5329	0	-391.5329	1.226612	126.977
471	1	-202.7985	0	-202.7985	4.884672	31.28863
472	0	-357.6895	0	-357.6895	1.216543	99.29559
473	1	-164.5844	0	-164.5844	7.164857	23.15205
474	0	-394.1636	0	-394.1636	0.9643875	130.6162
475	1	-175.6557	0	-175.6557	5.925803	25.57755
476	0	-357.6602	0	-357.6602	1.542659	99.02675
477	1	-152.8695	0	-152.8695	6.267538	21.74412
478	0	-336.4079	0	-336.4079	1.584009	85.27405
479	1	-161.7005	0	-161.7005	5.428671	23.18851
480	0	-382.227	0	-382.227	1.096856	119.7764
481	1	-165.6062	0	-165.6062	5.014762	23.76278
482	0	-412.716	0	-412.716	0.8207141	149.5866
483	1	-136.4844	0	-136.4844	6.840802	19.23719
484	0	-432.6214	0	-432.6214	0.7312134	173.8245
485	1	-115.7854	0	-115.7854	7.654153	16.4489
486	0	-425.5661	0	-425.5661	0.9584995	163.3194
487	1	-128.6705	0	-128.6705	8.486549	17.97641
488	0	-359.0151	0	-359.0151	1.126958	99.21803
489	1	-119.4877	0	-119.4877	8.537462	16.887
490	0	-309.4394	0	-309.4394	1.769538	69.522
491	1	-181.5617	0	-181.5617	5.212253	26.91643
492	0	-363.7153	0	-363.7153	1.304522	104.4304
493	1	-171.9293	0	-171.9293	5.245826	25.07192
494	0	-341.1989	0	-341.1989	1.516725	88.36115
495	1	-190.7827	0	-190.7827	4.227666	28.72727
496	0	-353.5963	0	-353.5963	1.376804	96.8755
497	1	-182.0451	0	-182.0451	5.387105	26.95291
498	0	-375.3207	0	-375.3207	1.288829	113.4412
